Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Percent_Bleaching
23.163,-82.526,301.61,300.67,10.0,8.0,-0.46,67.2375124623377,275.27,50.2
-17.575,-149.7833,262.15,300.73,14.0,2.0,1.29,247.71989764090534,357.79,50.7
18.369,-64.564,298.79,300.32,7.0,8.0,0.04,210.87574196463225,366.17,50.9
17.76,-64.568,300.16,300.38,9.02,3.0,-0.07,213.2033080545184,435.4,50.9
17.769,-64.583,300.15,300.38,12.5,3.0,0.0,213.4598921230929,435.4,50.9
9.822,-75.891,302.63,302.02,11.5,1.0,0.27,136.5094423563558,20.14,51.0
17.811,-64.63,301.19,300.38,27.7,6.0,0.29,215.78760150941875,435.4,51.3
25.425,-80.161,300.56,299.73,4.05,8.0,0.35,195.35663347965294,408.45,51.4
17.793,-64.628,300.17,300.38,4.82,3.0,0.0,214.01959973283243,435.4,51.7
17.767,-64.621,301.24,300.38,9.8,6.0,0.56,211.64415595770868,435.4,51.7
16.533,-87.979,301.18,301.23,9.0,8.0,-0.7,46.35377569307962,465.85,51.8
17.784,-64.609,300.15,300.38,14.51,3.0,0.0,213.8820447599327,435.4,51.8
18.348,-64.781,301.81,300.35,3.0,4.0,0.31,196.13268946042544,366.17,51.8
18.288,-87.82,302.28,300.9,15.0,5.0,-0.6,200.08244392999248,465.85,52.0
11.324,-60.616,262.15,300.36,12.0,6.0,-0.3,157.709645946717,376.86,52.0
25.332,-80.181,302.4,299.75,3.75,3.0,0.06,197.39918191671242,408.45,52.0
17.935,-67.019,299.53,300.76,16.5,7.0,-0.34,145.30871556375328,497.53,52.0
17.78,-64.594,301.22,300.38,8.8,6.0,0.01,214.10641260158025,435.4,52.1
18.675,-87.707,262.15,300.88,14.9,6.0,-0.34,175.36337800299776,283.94,52.2
25.998,-80.102,300.9,299.74,8.3,7.0,0.33,180.62607588843042,359.44,52.2
20.051,-87.463,301.86,300.78,11.45,4.0,0.03,28.517754112295577,283.94,52.4
20.05,-87.47,301.7,300.78,3.4,4.0,1.66,29.1979472480393,283.94,52.4
18.667,-87.716,262.15,300.88,9.8,6.0,-0.25,176.4861373475722,283.94,52.4
17.782,-64.579,301.22,300.38,11.3,6.0,0.01,214.95244681567496,435.4,52.4
18.66,-87.709,262.15,300.87,10.55,7.0,-1.84,177.02292991914655,283.94,52.6
18.72,-87.698,302.26,300.88,16.05,4.0,0.99,170.2967001246325,283.94,52.6
18.704,-87.702,262.15,300.88,15.25,6.0,-0.34,172.12202374028053,283.94,52.6
11.222,-60.784,301.2,300.46,7.0,6.0,0.46,178.82925408549661,376.86,52.6
18.055,-67.86,299.46,300.62,18.0,6.0,0.0,56.40401980690178,497.53,52.8
18.707,-87.707,262.15,300.88,5.35,6.0,-0.24,171.95362501482035,283.94,52.9
18.667,-87.716,262.15,300.88,10.35,6.0,-0.25,176.4861373475722,283.94,52.9
19.967,-87.453,262.15,300.81,10.4,6.0,-1.19,33.67227159511623,283.94,52.9
18.718,-87.692,299.45,300.88,14.9,6.0,-0.34,170.33040363010002,283.94,52.9
-9.968,150.842,302.58,301.04,10.0,3.0,-0.39,98.62988503448568,470.72,53.0
17.779,-64.666,301.24,300.4,9.4,6.0,1.14,211.057554386676,435.4,53.0
14.26,-60.54,299.42,300.43,10.0,8.0,0.03,153.59341821026578,130.93,53.3
18.724,-87.697,300.28,300.88,8.2,7.0,-0.81,169.84038142058836,283.94,53.3
18.655,-87.709,262.15,300.87,20.9,5.0,1.06,177.55647481151712,283.94,53.3
25.975,-80.105,300.89,299.75,9.9,7.0,0.44,182.39109725692362,359.44,53.3
18.287,-87.818,302.28,300.85,15.0,5.0,-0.33,200.04355149368536,465.85,53.6
20.052,-87.466,301.38,300.78,7.6,4.0,0.71,28.725502922806164,283.94,53.8
