Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Is_Heavily_Polluted,Distance_to_Oil_Spill_km,Nearest_Oil_Spill_Gallons,Percent_Bleaching
23.163,-82.526,301.61,300.67,10,8,-0.46,67.23751246,275.27,0,30.01071737,200000,50.2
-17.575,-149.7833,262.15,300.73,14,2,1.29,247.7198976,357.79,0,1990.693326,41,50.7
18.369,-64.564,298.79,300.32,7,8,0.04,210.875742,366.17,0,11.47083847,3450,50.9
17.76,-64.568,300.16,300.38,9.02,3,-0.07,213.2033081,435.4,0,7.116660642,15,50.9
17.769,-64.583,300.15,300.38,12.5,3,0,213.4598921,435.4,0,5.524293409,15,50.9
9.822,-75.891,302.63,302.02,11.5,1,0.27,136.5094424,20.14,0,350.2710615,5880000,51
17.811,-64.63,301.19,300.38,27.7,6,0.29,215.7876015,435.4,0,5.142289667,15,51.3
25.425,-80.161,300.56,299.73,4.05,8,0.35,195.3566335,408.45,0,3.676732121,3000,51.4
17.793,-64.628,300.17,300.38,4.82,3,0,214.0195997,435.4,0,3.200466258,15,51.7
17.767,-64.621,301.24,300.38,9.8,6,0.56,211.644156,435.4,0,1.499077216,15,51.7
16.533,-87.979,301.18,301.23,9,8,-0.7,46.35377569,465.85,1,75.24471034,3450,51.8
17.784,-64.609,300.15,300.38,14.51,3,0,213.8820448,435.4,0,3.470284953,15,51.8
18.348,-64.781,301.81,300.35,3,4,0.31,196.1326895,366.17,0,3.399101617,1000,51.8
18.288,-87.82,302.28,300.9,15,5,-0.6,200.0824439,465.85,0,268.3691846,3450,52
11.324,-60.616,262.15,300.36,12,6,-0.3,157.7096459,376.86,0,96.56071215,3450,52
25.332,-80.181,302.4,299.75,3.75,3,0.06,197.3991819,408.45,0,6.475456425,5000,52
17.935,-67.019,299.53,300.76,16.5,7,-0.34,145.3087156,497.53,0,18.5368983,11500,52
17.78,-64.594,301.22,300.38,8.8,6,0.01,214.1064126,435.4,0,4.65079414,15,52.1
18.675,-87.707,262.15,300.88,14.9,6,-0.34,175.363378,283.94,0,311.6191017,3450,52.2
25.998,-80.102,300.9,299.74,8.3,7,0.33,180.6260759,359.44,0,3.356336086,3450,52.2
20.051,-87.463,301.86,300.78,11.45,4,0.03,28.51775411,283.94,0,465.9092822,3450,52.4
20.05,-87.47,301.7,300.78,3.4,4,1.66,29.19794725,283.94,0,465.7396035,3450,52.4
18.667,-87.716,262.15,300.88,9.8,6,-0.25,176.4861373,283.94,0,310.6958286,3450,52.4
17.782,-64.579,301.22,300.38,11.3,6,0.01,214.9524468,435.4,0,6.223723911,15,52.4
18.66,-87.709,262.15,300.87,10.55,7,-1.84,177.0229299,283.94,0,309.9444614,3450,52.6
18.72,-87.698,302.26,300.88,16.05,4,0.99,170.2967001,283.94,0,316.6559552,3450,52.6
18.704,-87.702,262.15,300.88,15.25,6,-0.34,172.1220237,283.94,0,314.8615691,3450,52.6
11.222,-60.784,301.2,300.46,7,6,0.46,178.8292541,376.86,0,75.9426543,3450,52.6
18.055,-67.86,299.46,300.62,18,6,0,56.40401981,497.53,0,0.65824702,320,52.8
18.707,-87.707,262.15,300.88,5.35,6,-0.24,171.953625,283.94,0,315.1748428,3450,52.9
18.667,-87.716,262.15,300.88,10.35,6,-0.25,176.4861373,283.94,0,310.6958286,3450,52.9
19.967,-87.453,262.15,300.81,10.4,6,-1.19,33.6722716,283.94,0,456.6883114,3450,52.9
18.718,-87.692,299.45,300.88,14.9,6,-0.34,170.3304036,283.94,0,316.4597461,3450,52.9
-9.968,150.842,302.58,301.04,10,3,-0.39,98.62988503,470.72,0,2162.717465,3450,53
17.779,-64.666,301.24,300.4,9.4,6,1.14,211.0575544,435.4,0,3.225504717,42000,53
14.26,-60.54,299.42,300.43,10,8,0.03,153.5934182,130.93,0,327.4369326,3450,53.3
18.724,-87.697,300.28,300.88,8.2,7,-0.81,169.8403814,283.94,0,317.1046131,3450,53.3
18.655,-87.709,262.15,300.87,20.9,5,1.06,177.5564748,283.94,0,309.3888719,3450,53.3
25.975,-80.105,300.89,299.75,9.9,7,0.44,182.3910973,359.44,0,0.974132152,3450,53.3
18.287,-87.818,302.28,300.85,15,5,-0.33,200.0435515,465.85,0,268.2577961,3450,53.6
20.052,-87.466,301.38,300.78,7.6,4,0.71,28.72550292,283.94,0,465.9947565,3450,53.8
20.099,-87.462,299.49,300.78,8.05,5,-0.23,25.9835177,283.94,0,471.2375861,3450,53.8
18.66,-87.709,262.15,300.87,14.15,4,0.86,177.0229299,283.94,0,309.9444614,3450,53.8
18.704,-87.704,262.15,300.88,5.35,4,0.91,172.1822523,283.94,0,314.8534301,3450,53.8
18.634,-87.718,262.15,300.87,17.7,5,1.06,180.0640438,283.94,0,307.0213077,3450,53.8
18.69,-87.709,262.15,300.88,16.1,4,0.91,173.8246122,283.94,0,313.2780274,3450,53.8
18.345,-64.986,262.15,300.38,10,4,1.48,182.2748468,366.17,0,2.592901355,13000,53.8
17.797,-64.612,300.13,300.38,10.61,3,0.01,215.0866585,435.4,0,4.311822124,15,53.9
18.003,-67.332,299.59,300.81,16,6,0.13,111.9731031,497.53,0,8.678058118,1580000,53.9
17.563,-87.475,301.2,300.92,11,9,-1.71,147.8766049,465.85,0,191.2461818,3450,54
11.332,-60.646,300.11,300.38,12,6,-0.41,160.5053847,376.86,0,95.01008228,3450,54.2
25.598,-80.094,302.39,299.85,9.6,3,1,190.0777558,408.45,0,0.641464231,3450,54.3
19.933,-87.432,301.57,300.81,18.3,4,1.57,35.16322338,283.94,0,453.1156603,3450,54.5
17.802,-64.612,301.18,300.38,7.3,6,0.28,215.5985014,435.4,0,4.780934167,15,54.6
-14.33,-170.5,301.99,301.39,8.5,3,1.33,91.11518917,427.03,0,7.846981386,50000,55
-19.15,146.85,262.15,299.11,5,5,0.65,181.5849597,116.09,0,2926.813974,147000,55
13.212,-59.645,299.46,300.49,13.5,9,0.43,163.1934368,376.86,0,328.594629,3450,55
17.563,-87.475,301.2,300.92,11,9,-1.71,147.8766049,465.85,0,191.2461818,3450,55
